experiment,type,score_tokens_per_sec,valid_sla,gpu_memory_utilization,max_num_seqs,attention_backend,kv_cache_dtype,block_size,max_num_batched_tokens,scheduling_policy,async_scheduling,enforce_eager,optimization_level,max_cudagraph_capture_size
1,baseline,2152.0466666666666,True,,,,,,,,,,,
2,optimize,2542.15333333333,True,0.9375,394,FLASHINFER,fp8_e5m2,64,1248,fcfs,false,false,3,385
3,optimize,1864.99333333333,True,0.8624999999999999,646,FLASH_ATTN,auto,96,7200,fcfs,false,true,2,129
4,optimize,2255.75333333333,True,0.9125,142,FLASHINFER,fp8_e4m3,32,3232,priority,true,false,0,641
5,optimize,,False,0.86875,331,TRITON_ATTN,auto,112,4720,fcfs,false,false,0,193
6,optimize,2387.6,True,0.85625,961,FLASHINFER,auto,64,3728,fcfs,true,false,2,65
7,optimize,2353.87333333333,True,0.896875,299,FLASHINFER,fp8_e5m2,64,7944,fcfs,false,true,2,545
8,optimize,2391.81333333333,True,0.921875,552,TRITON_ATTN,auto,96,1992,fcfs,false,false,3,801
9,optimize,1608.34,True,0.871875,47,FLASHINFER,fp8_e4m3,32,5960,priority,true,true,1,289
10,optimize,2060.70666666667,True,0.9093749999999999,173,TRITON_ATTN,auto,16,6952,fcfs,true,false,1,929
11,optimize,2621.33333333333,True,0.903125,867,FLASHINFER,auto,64,5464,fcfs,true,true,3,993
12,optimize,2962.06,True,0.928125,615,FLASHINFER,fp8,32,7448,priority,false,true,0,225
13,optimize,2402.96344478217,True,0.8628954727702475,637,FLASHINFER,fp8,64,7148,fcfs,true,false,2,135
14,optimize,628.875726235335,True,0.9497827776968867,30,FLASH_ATTN,auto,96,8116,priority,true,true,3,30
15,optimize,2461.26428571429,True,0.8582404907353809,472,FLASHINFER,fp8_e5m2,16,7881,fcfs,false,false,1,811
16,optimize,2500.15333333333,True,0.85,661,FLASHINFER,fp8,64,6762,priority,true,true,2,951
17,optimize,2428.0,True,0.9295199939440659,179,FLASHINFER,auto,16,5097,priority,false,true,3,522
18,optimize,2391.41872444444,True,0.948630161715656,313,FLASHINFER,fp8,16,3836,priority,false,true,0,779
19,optimize,2429.44666666667,True,0.9456720736016376,1024,FLASHINFER,auto,32,8192,priority,false,false,1,1
20,optimize,2190.10666666667,True,0.9169601341917715,353,FLASHINFER,auto,64,3173,priority,false,true,0,44
21,optimize,3129.39333333333,True,0.9184397721626008,783,FLASHINFER,fp8,64,2698,fcfs,true,false,1,539
22,optimize,3103.38,True,0.9128800088849307,840,FLASHINFER,fp8,16,8026,fcfs,true,true,3,445
23,optimize,2672.62,True,0.8667634234742528,736,FLASHINFER,fp8_e5m2,64,2958,priority,true,false,1,603
24,optimize,2942.62,True,0.9253201782138647,946,FLASHINFER,fp8,32,5366,priority,false,false,1,438
25,optimize,2107.50666666667,True,0.9405791890235364,782,FLASH_ATTN,auto,48,6986,fcfs,false,true,2,1
26,optimize,2945.68666666667,True,0.8934393165853827,780,FLASHINFER,fp8,16,6621,priority,false,true,2,49
27,optimize,2464.22666666667,True,0.886999756036208,876,TRITON_ATTN,auto,48,2400,priority,true,false,1,74
28,optimize,2707.36,True,0.8942263858388624,930,FLASHINFER,fp8_e5m2,16,5134,fcfs,true,false,2,4
29,optimize,3131.08666666667,True,0.9160390542881032,772,FLASHINFER,fp8,16,2554,priority,true,false,1,535
30,optimize,2923.54,True,0.8891926541251928,776,FLASHINFER,fp8,32,1964,priority,false,true,3,1006
31,optimize,3109.38666666667,True,0.8623424565074473,761,FLASHINFER,fp8,16,827,priority,true,false,0,114
